word,trans,exp
"-ge","【接尾辞】～後，～の後
【対義語】-mee","【語法】前につく名詞の後方であることを示す派生名詞を作る．前につく名詞の後ろ一部分であっても，完全に分離して後ろに存在する要素であっても良い．-meeはその逆．
{r}"
"-geh","【接尾辞】【名詞】～学","{r>i.s}"
"-mee","【接尾辞】～前，～の前
【対義語】-ge","【参照】-ge
{r}"
"aa","【間投詞】(感嘆，驚きの，嘆きの)ああ","【語法】大きな情動を感じた時に自然と口から出る言葉．"
"ab","【接続詞】一方で，しかし，けど","【参照】sien"
"ados","【名詞】許可，認可","{r|許し>i.s}"
"adose","【動詞】(行動を)許可する，認可する
【対義語】fagave",""
"adu","【名詞】板，プレート","【語法】厚板から薄板までを含む．だいたい厚みが縦横長方形の短辺の3割程度以下ならaduと言われる．
{r}"
"ag","【名詞】息，呼気","【語法】機械や生物の中に出入りする気体のこと．
{r}"
"ai","【名詞】耳","【語法】飛び出している部分を指す．付け根から先は頭．
{a}"
"aiade","【間投詞】(挨拶)ようこそ","{r:*ai|良い+*de|おいで}"
"aikarsem","【間投詞】(挨拶)おはよう，こんにちは，こんばんは
【類義語】kuenzina","【語法】いい天気ですね，が原義．コロニーでは当然毎日いい天気なので，本来の意味が抜け落ちて挨拶と化していった．その出自から，日が出ていても出ていなくても使える．宇宙船生活にもそのまま使えて合理的である．
{r:*ai|良い+*kar|空+sem|ですね？>}"
"ain","【記述詞】とても，非常に，甚だしく，非常な","{r|良い}"
"aker","【名詞】光，明かり，灯り","{r>i.s}"
"akermugirom","【名詞】(科)レンズ","{aker+mugirom}"
"akser","【名詞】戦い，戦争，決闘","【語法】命の取り合いに対して使う語．喧嘩は含まれない．
{r>i.s}"
"aksermak","【名詞】軍人","【文化】元々イジェール王国軍はアルザフィーレ教の私兵団だった．その名残で，軍人の階級は殆どが宗教の序列が由来である．
{akser+mak}"
"aktirin","【記述詞】かっこいい，格好良い，いけてる，いかした，かっこよく，格好良く，いけてる風に
【対義語】disean","【語法】かっこいい，という意味であり，ミーハーとか今風とかいうニュアンスは(話者が今風=かっこいいと感じる場合を除いて)含まない．
{a}"
"akurin","【記述詞】平等な，(数)等しい
【対義語】amakurin","【語法】数学的に等しい場合も，平等であるという時も使う．
{a}"
"am","【名詞】今，現在
【類義語】diiz","【語法】たった今，この瞬間を指す．現代や現在といった広い意味はdiiz．
{r}"
"am-","【接尾辞】不～，非～","【語法】何かが行われないことや，ある状態ではないことを示す派生語を形成する．積極的に反対する語を形成するen-とは異なる．
{u}"
"amados","【名詞】不許可，不認可","{am+ados}"
"amadosin","【記述詞】不許可の，許可されない","{am+ados+in}"
"amakurin","【記述詞】平等ではない，(数)等しくない
【対義語】akurin",""
"amin","【記述詞】今風の，新しい，今様の，新鋭の，先端的な
【類義語】erdesan，magen
【対義語】maksan","【語法】あたしいことを肯定的にとらえた語．価値判断はプラス．
{r}"
"amzonegede","【名詞】賊軍，私兵団，民兵組織
【対義語】sonegede","【参照】kede
{am+sone+kede}"
"ane","【名詞】犬，イヌ，いぬ，イエイヌ","【語法】家畜化された犬を指す．狼は含まない．
{r}"
"ankors'e","【固有名詞】(言)アンコルシェ
【対義語】rarnesenga","【文化】イジェール語のもとになった言語のうちの一つ．語源欄のaはアンコルシェを表す．"
"arebe","【動詞】(teeを)(hurから)選ぶ，選択する，選出する","{r}"
"ari","【名詞】腕","【語法】肩から手首にかけてを指す．
{r}"
"as'a","【名詞】牛肉","【語法】食材としての牛肉，牛肉料理としての牛肉どちらにも用いる．
{r>i.s}"
"asderi","【名詞】歴史，古今，今昔","【語法】「歴史を通じて」という時は助詞としてraかdiを伴う．
{a|歴史}"
